nom_ent,mun,nom_mun,loc,graproes,anio
Total nacional,0,Total nacional,0,7.0,2000
Aguascalientes,0,Total de la entidad Aguascalientes,0,8.0,2000
Baja California,0,Total de la entidad Baja California,0,8.0,2000
Baja California Sur,0,Total de la entidad Baja California Sur,0,8.0,2000
Campeche,0,Total de la entidad Campeche,0,7.0,2000
Coahuila de Zaragoza,0,Total de la entidad Coahuila de Zaragoza,0,8.0,2000
Colima,0,Total de la entidad Colima,0,8.0,2000
Chiapas,0,Total de la entidad Chiapas,0,5.0,2000
Chihuahua,0,Total de la entidad chihuahua,0,8.0,2000
Ciudad de México,0,Total del Distrito Federal,0,10.0,2000
Durango,0,Total de la entidad Durango,0,7.0,2000
Guanajuato,0,Total de la entidad Guanajuato,0,6.0,2000
Guerrero,0,Total de la entidad Guerrero,0,6.0,2000
Hidalgo,0,Total de la entidad Hidalgo,0,7.0,2000
Jalisco,0,Total de la entidad Jalisco,0,8.0,2000
México,0,Total de la entidad México,0,8.0,2000
Michoacán de Ocampo,0,Total de la entidad Michoacán de Ocampo,0,6.0,2000
Morelos,0,Total de la entidad Morelos,0,8.0,2000
Nayarit,0,Total de la entidad Nayarit,0,7.0,2000
Nuevo León,0,Total de la entidad Nuevo León,0,9.0,2000
Oaxaca,0,Total de la entidad Oaxaca,0,6.0,2000
Puebla,0,Total de la entidad Puebla,0,7.0,2000
Querétaro Arteaga,0,Total de la entidad Querétaro,0,8.0,2000
Quintana Roo,0,Total de la entidad Quintana Roo,0,8.0,2000
San Luis Potosí,0,Total de la entidad San Luis Potosí,0,7.0,2000
Sinaloa,0,Total de la entidad  Sinaloa,0,8.0,2000
Sonora,0,Total de la entidad Sonora,0,8.0,2000
Tabasco,0,Total de la entidad Tabasco,0,7.0,2000
Tamaulipas,0,Total de la entidad Tamaulipas,0,8.0,2000
Tlaxcala,0,Total de la entidad Tlaxcala,0,8.0,2000
Veracruz de Ignacio de la Llave,0,Total de la entidad Veracruz,0,6.0,2000
Yucatán,0,Total de la entidad Yucatán,0,7.0,2000
Zacatecas,0,Total de la entidad Zacatecas,0,6.0,2000
Total nacional,0,Total nacional,0,8.14,2005
Aguascalientes,0,Total de la entidad Aguascalientes,0,8.7,2005
Baja California,0,Total de la entidad Baja California,0,8.86,2005
Baja California Sur,0,Total de la entidad Baja California Sur,0,8.93,2005
Campeche,0,Total de la entidad Campeche,0,7.87,2005
Coahuila de Zaragoza,0,Total de la entidad Coahuila de Zaragoza,0,9.03,2005
Colima,0,Total de la entidad Colima,0,8.42,2005
Chiapas,0,Total de la entidad Chiapas,0,6.07,2005
Chihuahua,0,Total de la entidad chihuahua,0,8.31,2005
Ciudad de México,0,Total del Distrito Federal,0,10.15,2005
Durango,0,Total de la entidad Durango,0,8.01,2005
Guanajuato,0,Total de la entidad Guanajuato,0,7.15,2005
Guerrero,0,Total de la entidad Guerrero,0,6.78,2005
Hidalgo,0,Total de la entidad Hidalgo,0,7.44,2005
Jalisco,0,Total de la entidad Jalisco,0,8.24,2005
México,0,Total de la entidad México,0,8.69,2005
Michoacán de Ocampo,0,Total de la entidad Michoacán de Ocampo,0,6.93,2005
Morelos,0,Total de la entidad Morelos,0,8.41,2005
Nayarit,0,Total de la entidad Nayarit,0,8.02,2005
Nuevo León,0,Total de la entidad Nuevo León,0,9.45,2005
Oaxaca,0,Total de la entidad Oaxaca,0,6.39,2005
Puebla,0,Total de la entidad Puebla,0,7.43,2005
Querétaro Arteaga,0,Total de la entidad Querétaro,0,8.33,2005
Quintana Roo,0,Total de la entidad Quintana Roo,0,8.49,2005
San Luis Potosí,0,Total de la entidad San Luis Potosí,0,7.71,2005
Sinaloa,0,Total de la entidad  Sinaloa,0,8.53,2005
Sonora,0,Total de la entidad Sonora,0,8.88,2005
Tabasco,0,Total de la entidad Tabasco,0,8.03,2005
Tamaulipas,0,Total de la entidad Tamaulipas,0,8.71,2005
Tlaxcala,0,Total de la entidad Tlaxcala,0,8.27,2005
Veracruz de Ignacio de la Llave,0,Total de la entidad Veracruz,0,7.16,2005
Yucatán,0,Total de la entidad Yucatán,0,7.59,2005
Zacatecas,0,Total de la entidad Zacatecas,0,7.2,2005
Total nacional,0,Total nacional,0,8.63,2010
Aguascalientes,0,Total de la entidad Aguascalientes,0,9.23,2010
Baja California,0,Total de la entidad Baja California,0,9.26,2010
Baja California Sur,0,Total de la entidad Baja California Sur,0,9.4,2010
Campeche,0,Total de la entidad Campeche,0,8.51,2010
Coahuila de Zaragoza,0,Total de la entidad Coahuila de Zaragoza,0,9.47,2010
Colima,0,Total de la entidad Colima,0,8.95,2010
Chiapas,0,Total de la entidad Chiapas,0,6.67,2010
Chihuahua,0,Total de la entidad Chihuahua,0,8.82,2010
Ciudad de México,0,Total del Distrito Federal,0,10.54,2010
Durango,0,Total de la entidad Durango,0,8.58,2010
Guanajuato,0,Total de la entidad Guanajuato,0,7.73,2010
Guerrero,0,Total de la entidad Guerrero,0,7.27,2010
Hidalgo,0,Total de la entidad Hidalgo,0,8.1,2010
Jalisco,0,Total de la entidad Jalisco,0,8.78,2010
México,0,Total de la entidad México,0,9.1,2010
Michoacán de Ocampo,0,Total de la entidad Michoacán de Ocampo,0,7.42,2010
Morelos,0,Total de la entidad Morelos,0,8.9,2010
Nayarit,0,Total de la entidad Nayarit,0,8.61,2010
Nuevo León,0,Total de la entidad Nuevo León,0,9.81,2010
Oaxaca,0,Total de la entidad Oaxaca,0,6.94,2010
Puebla,0,Total de la entidad Puebla,0,7.95,2010
Querétaro Arteaga,0,Total de la entidad Querétaro,0,8.92,2010
Quintana Roo,0,Total de la entidad Quintana Roo,0,9.12,2010
San Luis Potosí,0,Total de la entidad San Luis Potosí,0,8.26,2010
Sinaloa,0,Total de la entidad Sinaloa,0,9.08,2010
Sonora,0,Total de la entidad Sonora,0,9.42,2010
Tabasco,0,Total de la entidad Tabasco,0,8.64,2010
Tamaulipas,0,Total de la entidad Tamaulipas,0,9.12,2010
Tlaxcala,0,Total de la entidad Tlaxcala,0,8.78,2010
Veracruz de Ignacio de la Llave,0,Total de la entidad Veracruz,0,7.67,2010
Yucatán,0,Total de la entidad Yucatán,0,8.22,2010
Zacatecas,0,Total de la entidad Zacatecas,0,7.9,2010
Total nacional,0,Total nacional,0,9.74,2020
Aguascalientes,0,Total de la entidad Aguascalientes,0,10.35,2020
Baja California,0,Total de la entidad Baja California,0,10.2,2020
Baja California Sur,0,Total de la entidad Baja California Sur,0,10.34,2020
Campeche,0,Total de la entidad Campeche,0,9.63,2020
Coahuila de Zaragoza,0,Total de la entidad Coahuila de Zaragoza,0,10.43,2020
Colima,0,Total de la entidad Colima,0,10.05,2020
Chiapas,0,Total de la entidad Chiapas,0,7.78,2020
Chihuahua,0,Total de la entidad Chihuahua,0,10.0,2020
Ciudad de México,0,Total de la entidad Ciudad de México,0,11.48,2020
Durango,0,Total de la entidad Durango,0,9.75,2020
Guanajuato,0,Total de la entidad Guanajuato,0,9.04,2020
Guerrero,0,Total de la entidad Guerrero,0,8.37,2020
Hidalgo,0,Total de la entidad Hidalgo,0,9.37,2020
Jalisco,0,Total de la entidad Jalisco,0,9.9,2020
México,0,Total de la entidad México,0,10.08,2020
Michoacán de Ocampo,0,Total de la entidad Michoacán de Ocampo,0,8.6,2020
Morelos,0,Total de la entidad Morelos,0,9.84,2020
Nayarit,0,Total de la entidad Nayarit,0,9.73,2020
Nuevo León,0,Total de la entidad Nuevo León,0,10.74,2020
Oaxaca,0,Total de la entidad Oaxaca,0,8.12,2020
