Entidad federativa,Nivel educativo,Ciclo escolar,Tasa de Deserción
Aguascalientes,Primaria,2000/2001,1.5
Aguascalientes,Secundaria,2000/2001,8.0
Aguascalientes,Media superior,2000/2001,16.6
Aguascalientes,Superior,2000/2001,3.8
Baja California,Primaria,2000/2001,1.3
Baja California,Secundaria,2000/2001,9.9
Baja California,Media superior,2000/2001,16.7
Baja California,Superior,2000/2001,1.1
Baja California Sur,Primaria,2000/2001,0.7
Baja California Sur,Secundaria,2000/2001,7.2
Baja California Sur,Media superior,2000/2001,19.0
Baja California Sur,Superior,2000/2001,6.3
Campeche,Primaria,2000/2001,2.3
Campeche,Secundaria,2000/2001,10.3
Campeche,Media superior,2000/2001,18.3
Campeche,Superior,2000/2001,11.1
Coahuila,Primaria,2000/2001,1.0
Coahuila,Secundaria,2000/2001,6.5
Coahuila,Media superior,2000/2001,20.5
Coahuila,Superior,2000/2001,12.7
Colima,Primaria,2000/2001,2.7
Colima,Secundaria,2000/2001,8.6
Colima,Media superior,2000/2001,14.9
Colima,Superior,2000/2001,8.9
Chiapas,Primaria,2000/2001,2.6
Chiapas,Secundaria,2000/2001,6.6
Chiapas,Media superior,2000/2001,13.4
Chiapas,Superior,2000/2001,6.1
Chihuahua,Primaria,2000/2001,3.0
Chihuahua,Secundaria,2000/2001,10.1
Chihuahua,Media superior,2000/2001,20.1
Chihuahua,Superior,2000/2001,8.1
Ciudad de México,Primaria,2000/2001,1.0
Ciudad de México,Secundaria,2000/2001,7.5
Ciudad de México,Media superior,2000/2001,20.7
Ciudad de México,Superior,2000/2001,9.7
Durango,Primaria,2000/2001,2.2
Durango,Secundaria,2000/2001,9.7
Durango,Media superior,2000/2001,20.5
Durango,Superior,2000/2001,7.1
Guanajuato,Primaria,2000/2001,1.8
Guanajuato,Secundaria,2000/2001,9.1
Guanajuato,Media superior,2000/2001,20.4
Guanajuato,Superior,2000/2001,10.5
Guerrero,Primaria,2000/2001,3.8
Guerrero,Secundaria,2000/2001,12.0
Guerrero,Media superior,2000/2001,21.2
Guerrero,Superior,2000/2001,14.0
Hidalgo,Primaria,2000/2001,1.1
Hidalgo,Secundaria,2000/2001,6.0
Hidalgo,Media superior,2000/2001,18.9
Hidalgo,Superior,2000/2001,8.9
Jalisco,Primaria,2000/2001,2.0
Jalisco,Secundaria,2000/2001,11.0
Jalisco,Media superior,2000/2001,19.0
Jalisco,Superior,2000/2001,-0.1
México,Primaria,2000/2001,1.3
México,Secundaria,2000/2001,7.9
México,Media superior,2000/2001,17.0
México,Superior,2000/2001,6.1
Michoacán,Primaria,2000/2001,3.5
Michoacán,Secundaria,2000/2001,11.1
Michoacán,Media superior,2000/2001,15.1
Michoacán,Superior,2000/2001,11.3
Morelos,Primaria,2000/2001,1.2
Morelos,Secundaria,2000/2001,6.1
Morelos,Media superior,2000/2001,16.8
Morelos,Superior,2000/2001,6.5
Nayarit,Primaria,2000/2001,2.2
Nayarit,Secundaria,2000/2001,7.0
Nayarit,Media superior,2000/2001,16.5
Nayarit,Superior,2000/2001,3.0
Nuevo León,Primaria,2000/2001,0.9
Nuevo León,Secundaria,2000/2001,5.9
Nuevo León,Media superior,2000/2001,22.9
Nuevo León,Superior,2000/2001,-1.4
Oaxaca,Primaria,2000/2001,2.6
